Sr. No,Symbol,Name of the company
1,20MICRONS,20 Microns Limited 
2,3IINFOTECH,3i Infotech Limited 
3,3MINDIA,3M India Limited 
4,A2ZMES,A2Z Maintenance & Engineering Services Limited 
5,AANJANEYA,Aanjaneya Lifecare Limited 
6,AARTIDRUGS,Aarti Drugs Limited 
7,AARTIIND,Aarti Industries Limited 
8,AARVEEDEN,Aarvee Denims & Exports Limited 
9,ABAN,Aban Offshore Limited 
10,ABB,ABB Limited 
11,ABCIL,Aditya Birla Chemicals (India) Limited 
12,ABGSHIP,ABG Shipyard Limited 
13,ABIRLANUVO,Aditya Birla Nuvo Limited 
14,ACC,ACC Limited 
15,ACE,Action Construction Equipment Limited 
16,ACKRUTI,Ackruti City Limited 
17,ADANIENT,Adani Enterprises Limited 
18,ACROPETAL,Acropetal Technologies Limited 
19,ADANIPOWER,Adani Power Limited 
20,ADFFOODS,ADF Foods Limited 
21,ADHUNIK,Adhunik Metaliks Limited 
22,ADORWELD,Ador Welding Limited 
23,ADSL,Allied Digital Services Limited 
24,ADVANIHOTR,Advani Hotels & Resorts (India) Limited 
25,ADVANTA,Advanta India Limited 
26,AEGISCHEM,Aegis Logistics Limited 
27,AFL,Accel Frontline Limited 
28,AFTEK,Aftek Limited 
29,AGCNET,AGC Networks Limited 
30,AGRODUTCH,Agro Dutch Industries Limited 
31,AHLEAST,Asian Hotels (East) Limited 
32,AHLUCONT,Ahluwalia Contracts (India) Limited 
33,AHLWEST,Asian Hotels (West) Limited 
34,AHMEDFORGE,Ahmednagar Forgings Limited 
35,AIAENG,AIA Engineering Limited 
36,AICHAMP,AI Champdany Industries Limited 
37,AJANTPHARM,Ajanta Pharma Limited 
38,AJMERA,Ajmera Realty & Infra India Limited 
39,AKSHOPTFBR,Aksh Optifibre Limited 
40,AKZOINDIA,Akzo Nobel India Limited 
41,ALBK,Allahabad Bank 
42,ALCHEM,Alchemist Limited 
43,ALEMBICLTD,Alembic Limited 
44,ALFALAVAL,Alfa Laval (India) Limited 
45,ALICON,Alicon Castalloy Limited 
46,ALKALI,Alkali Metals Limited 
47,ALKYLAMINE,Alkyl Amines Chemicals Limited 
48,ALLCARGO,Allcargo Global Logistics Limited 
49,ALLSEC,Allsec Technologies Limited 
50,ALMONDZ,Almondz Global Securities Limited 
51,ALOKTEXT,Alok Industries Limited 
52,ALPHAGEO,Alphageo (India) Limited 
53,AMAR,Amar Remedies Limited 
54,AMARAJABAT,Amara Raja Batteries Limited 
55,ALPSINDUS,Alps Industries Limited 
56,AMBIKCO,Ambika Cotton Mills Limited 
57,AMBUJACEM,Ambuja Cements Limited 
58,AMDIND,AMD Industries Limited 
59,AMTEKAUTO,Amtek Auto Limited 
60,AMTEKINDIA,Amtek India Limited 
61,ANANTRAJ,Anant Raj Industries Limited 
62,ANDHRABANK,Andhra Bank 
63,ANDHRSUGAR,The Andhra Sugars Limited 
64,ANGIND,ANG Industries Limited 
65,ANIKINDS,Anik Industries Limited 
66,ANDHRACEMT,Andhra Cements Limited 
67,ANKURDRUGS,Ankur Drugs And Pharma Limited 
68,ANSALAPI,Ansal Properties & Infrastructure Limited 
69,ANSALHSG,Ansal Housing and Construction Limited 
70,ANTGRAPHIC,Antarctica Limited 
71,APARINDS,Apar Industries Limited 
72,APCOTEXIND,Apcotex Industries Limited 
73,APIL,Alstom Projects India Limited 
74,APOLLOHOSP,Apollo Hospitals Enterprise Limited 
75,APOLLOTYRE,Apollo Tyres Limited 
76,APPAPER,The Andhra Pradesh Paper Mills Limited 
77,APTECHT,Aptech Limited 
78,AQUA,Aqua Logistics Limited 
79,ARCHIDPLY,Archidply Industries Limited 
80,ARCHIES,Archies Limited 
81,AREVAT&D,Areva T&D India Limited 
82,ARIES,Aries Agro Limited 
83,ARIHANT,Arihant Foundations & Housing Limited 
84,ARL,Arvind Remedies Limited 
85,AROGRANITE,Aro Granite Industries Limited 
86,ARROWTEX,Arrow Textiles Limited 
87,ARSHIYA,Arshiya International Limited 
88,ARSSINFRA,ARSS Infrastructure Projects Limited 
89,ARVIND,Arvind Limited 
90,ASAHIINDIA,Asahi India Glass Limited 
91,ASAL,Automotive Stampings and Assemblies Limited 
92,ASHAPURMIN,Ashapura Minechem Limited 
93,ASHCONIUL,Ashco Niulab Industries Limited 
94,ASHIANA,Ashiana Housing Limited 
95,ASHIMASYN,Ashima Limited 
96,ASHOKA,Ashoka Buildcon Limited 
97,ASHOKLEY,Ashok Leyland Limited 
98,ASIANELEC,Asian Electronics Limited 
99,ASIANHOTNR,Asian Hotels (North) Limited 
100,ASIANPAINT,Asian Paints Limited
 
101,ASIANTILES,Asian Granito India Limited
 
102,ASIL,Amit Spinning Industries Limited 
103,ASSAMCO,Assam Company India Limited 
104,ASTEC,Astec LifeSciences Limited 
105,ASTERSILI,Aster Silicates Limited 
106,ASTRAL,Astral Poly Technik Limited 
107,ASTRAMICRO,Astra Microwave Products Limited 
108,ASTRAZEN,AstraZeneca Pharma India Limited 
109,ATFL,Agro Tech Foods Limited 
110,ATLANTA,Atlanta Limited 
111,ATLASCYCLE,Atlas Cycles (Haryana) Limited 
112,ATNINTER,ATN International Limited 
113,ATUL,Atul Limited 
114,AURIONPRO,Aurionpro Solutions Limited 
115,AUROPHARMA,Aurobindo Pharma Limited 
116,AUSOMENT,Ausom Enterprise Limited 
117,AUSTRAL,Austral Coke & Projects Limited 
118,AUTOAXLES,Automotive Axles Limited 
119,AUTOIND,Autoline Industries Limited 
120,AUTOLITIND,Autolite (India) Limited 
121,AVANTI,Avanti Feeds Limited 
122,AVENTIS,Aventis Pharma Limited 
123,AVTNPL,AVT Natural Products Limited 
124,AXISBANK,Axis Bank Limited 
125,AXIS-IT&T,Axis-IT&T Limited 
126,BAGFILMS,B.A.G Films and Media Limited 
127,BAJAJ-AUTO,Bajaj Auto Limited 
128,BAJAJCORP,Bajaj Corp Limited 
129,BAJAJELEC,Bajaj Electricals Limited 
130,BAJAJFINSV,Bajaj Finserv Limited 
131,BAJAJHIND,Bajaj Hindusthan Limited 
132,BAJAJHLDNG,Bajaj Holdings & Investment Limited 
133,BAJFINANCE,Bajaj Finance Limited 
134,BALAJITELE,Balaji Telefilms Limited 
135,BALAMINES,Balaji Amines Limited 
136,BALKRISIND,Balkrishna Industries Limited 
137,BALLARPUR,Ballarpur Industries Limited 
138,BALMLAWRIE,Balmer Lawrie & Company Limited 
139,BALPHARMA,Bal Pharma Limited 
140,BALRAMCHIN,Balrampur Chini Mills Limited 
141,BANARISUG,Bannari Amman Sugars Limited 
142,BANCOINDIA,Banco Products (I) Limited 
143,BANG,Bang Overseas Limited 
144,BANKBARODA,Bank of Baroda 
145,BANKINDIA,Bank of India 
146,BANSWRAS,Banswara Syntex Limited 
